Source,Target,Weight
12440,1614,0.723455011844635
20367,21224,0.7229795455932617
15795,5677,0.7225762009620667
21224,5085,0.7225545942783356
11616,10792,0.7217561602592468
5905,16746,0.7213615775108337
2325,11991,0.7211616933345795
180,13952,0.7206014096736908
14166,4817,0.7201310396194458
2969,6706,0.7200627624988556
16973,16104,0.7200119495391846
5499,15913,0.7190687656402588
11966,12083,0.7189980149269104
797,2357,0.7186779379844666
1130,530,0.7185289859771729
17844,20791,0.7184383273124695
11880,18232,0.7174978256225586
14859,11261,0.716982901096344
2969,8927,0.7169719934463501
14649,21162,0.715469479560852
12446,12444,0.7154460251331329
13513,13150,0.7135908901691437
9843,5609,0.7135541439056396
6768,19276,0.7124266922473907
10283,3338,0.7113837599754333
11465,16686,0.7105734944343567
13030,8846,0.7101455330848694
12960,18655,0.7089345157146454
9425,5589,0.7088786959648132
17967,21224,0.7081495523452759
11663,8367,0.7076948881149292
1644,20709,0.7073123455047607
2941,14897,0.707004725933075
11044,4273,0.7059172093868256
17832,1012,0.7057433128356934
16421,5921,0.705262303352356
8003,19184,0.7050115168094635
7138,20071,0.7048534750938416
13150,17020,0.7048172354698181
8587,13395,0.7043018639087677
4097,14915,0.7037933170795441
18954,1065,0.7031095623970032
19184,17826,0.7029586434364319
13696,14897,0.7026455700397491
17623,20143,0.7026073932647705
11128,15476,0.7024266123771667
13627,20297,0.7021637260913849
21290,14593,0.7021393179893494
9811,9656,0.7013996839523315
18954,8927,0.7013500332832336
14363,20712,0.7011802792549133
4600,9897,0.7010988593101501
13633,7048,0.7003949880599976
18808,16000,0.7000834345817566
13226,5788,0.6993871629238129
9520,6738,0.6984830796718597
10924,5962,0.6977988481521606
21286,2271,0.6976284980773926
15246,14577,0.6975621581077576
13432,16314,0.6971085667610168
1827,15048,0.6969671845436096
21236,21165,0.6964541673660278
6481,5085,0.6962083578109741
11044,2445,0.6957963109016418
3978,10799,0.6957728266716003
3477,9796,0.6956045031547546
9414,10547,0.6955224871635437
13627,21224,0.6951017379760742
11818,14303,0.6941142678260803
21277,6860,0.6939795613288879
3978,5977,0.6929144859313965
12119,6486,0.6928167939186096
9315,20367,0.6925513744354248
